"","Year_Month","Country","Trade.Value"
"205",202001,"Mexico",163883687
"206",202001,"Mexico",16004402
"207",202001,"Mexico",186266925
"208",202001,"Mexico",3887623
"209",202001,"Mexico",13060
"210",202001,"Mexico",3900683
"211",202001,"Mexico",44553
"212",202001,"Mexico",44553
"213",202001,"Mexico",1566809
"214",202001,"Mexico",186619
"215",202001,"Mexico",1797981
"216",202001,"Mexico",186
"217",202001,"Mexico",186
"218",202001,"Mexico",2511963
"219",202001,"Mexico",409138
"220",202001,"Mexico",2921287
"221",202001,"Mexico",254695
"222",202001,"Mexico",2969
"223",202001,"Mexico",257664
"224",202001,"Mexico",227217
"225",202001,"Mexico",227217
"226",202001,"Mexico",1529904
"227",202001,"Mexico",1529904
"228",202001,"Mexico",987317
"229",202001,"Mexico",1927942
"230",202001,"Mexico",4445163
"231",202001,"Mexico",90909
"232",202001,"Mexico",90909
"233",202001,"Mexico",13667559
"234",202001,"Mexico",2222395
"235",202001,"Mexico",15980863
"236",202001,"Mexico",4821
"237",202001,"Mexico",4821
"238",202001,"Mexico",14518
"239",202001,"Mexico",19339
"240",202001,"Mexico",450463
"241",202001,"Mexico",450463
"242",202001,"Mexico",22628592
"243",202001,"Mexico",2874440
"244",202001,"Mexico",25953495
"245",202001,"Mexico",9152200
"246",202001,"Mexico",9152200
"247",202001,"Mexico",24712553
"248",202001,"Mexico",3180082
"249",202001,"Mexico",37044835
"250",202001,"Mexico",895436
"251",202001,"Mexico",895436
"252",202001,"Mexico",7516778
"253",202001,"Mexico",8168951
"254",202001,"Mexico",16581165
"255",202001,"Mexico",612
"256",202001,"Mexico",33465
"257",202001,"Mexico",33465
"258",202001,"Mexico",23983813
"259",202001,"Mexico",11511821
"260",202001,"Mexico",35529711
"261",202001,"Mexico",8802
"262",202001,"Mexico",8802
"263",202001,"Mexico",22120
"264",202001,"Mexico",17576
"265",202001,"Mexico",48498
"266",202001,"Mexico",1615218
"267",202001,"Mexico",29716591
"268",202001,"Mexico",29716591
"269",202001,"Mexico",50017434
"270",202001,"Mexico",41813286
"271",202001,"Mexico",123162529
"272",202001,"Mexico",40204
"273",202001,"Mexico",40204
"274",202001,"Mexico",4845818
"275",202001,"Mexico",350680
"276",202001,"Mexico",5236702
"277",202001,"Mexico",2255398
"278",202001,"Mexico",2255398
"279",202001,"Mexico",93374
"280",202001,"Mexico",93374
"281",202001,"Mexico",3784460
"282",202001,"Mexico",2598678
"283",202001,"Mexico",6476512
"284",202001,"Mexico",13013
"285",202001,"Mexico",13013
"286",202001,"Mexico",26308
"287",202001,"Mexico",2736
"288",202001,"Mexico",42057
"289",202001,"Mexico",4652
"290",202001,"Mexico",4652
"291",202001,"Mexico",19536057
"292",202001,"Mexico",19536057
"293",202001,"Mexico",3830566
"294",202001,"Mexico",322925
"295",202001,"Mexico",23689548
"296",202001,"Mexico",2091167
"297",202001,"Mexico",2091167
"298",202001,"Mexico",20060159
"299",202001,"Mexico",1072590
"300",202001,"Mexico",23223916
"301",202001,"Mexico",5260
"302",202001,"Mexico",5260
"303",202001,"Mexico",8455
"304",202001,"Mexico",13715
"305",202001,"Mexico",129471
"306",202001,"Mexico",129471
"307",202001,"Mexico",283713
"308",202001,"Mexico",197
"309",202001,"Mexico",413381
"310",202001,"Mexico",2944276
"311",202001,"Mexico",86994820
"312",202001,"Mexico",86994820
"313",202001,"Mexico",157701865
"314",202001,"Mexico",35329032
"315",202001,"Mexico",282969993
"316",202001,"Mexico",28915
"317",202001,"Mexico",28915
"318",202001,"Mexico",23894
"319",202001,"Mexico",23894
"320",202001,"Mexico",1339192
"321",202001,"Mexico",13286
"322",202001,"Mexico",1376372
"323",202001,"Mexico",428977
"324",202001,"Mexico",7957
"325",202001,"Mexico",7957
"326",202001,"Mexico",9364
"327",202001,"Mexico",9364
"328",202001,"Mexico",6496
"329",202001,"Mexico",39281912
"330",202001,"Mexico",39281912
"331",202001,"Mexico",196428210
"332",202001,"Mexico",95936055
"333",202001,"Mexico",331652673
"334",202001,"Mexico",187796
"335",202001,"Mexico",187796
"336",202001,"Mexico",3084248
"337",202001,"Mexico",3297058
"338",202001,"Mexico",6569102
"339",202001,"Mexico",1911
"340",202001,"Mexico",1911
"341",202001,"Mexico",84935
"342",202001,"Mexico",86846
"343",202001,"Mexico",413724
"344",202001,"Mexico",413724
"345",202001,"Mexico",2898836
"346",202001,"Mexico",121421
"347",202001,"Mexico",3433981
"348",202001,"Mexico",14829235
"349",202001,"Mexico",14829235
"350",202001,"Mexico",24209477
"351",202001,"Mexico",21029107
"352",202001,"Mexico",60067819
"353",202001,"Mexico",12368
"354",202001,"Mexico",12368
"355",202001,"Mexico",179295
"356",202001,"Mexico",179295
"357",202001,"Mexico",6106352
"358",202001,"Mexico",787649
"359",202001,"Mexico",7073296
"360",202001,"Mexico",4148867
"361",202001,"Mexico",221206629
"362",202001,"Mexico",221206629
"363",202001,"Mexico",130676000
"364",202001,"Mexico",122560128
"365",202001,"Mexico",478591624
"366",202001,"Mexico",850386
"367",202001,"Mexico",850386
"368",202001,"Mexico",2718633
"369",202001,"Mexico",172582
"370",202001,"Mexico",3741601
"371",202001,"Mexico",129595
"372",202001,"Mexico",9292
"373",202001,"Mexico",138887
"374",202001,"Mexico",18667
"375",202001,"Mexico",548
"376",202001,"Mexico",19215
"377",202001,"Mexico",36024
"378",202001,"Mexico",36024
"379",202001,"Mexico",101160
"380",202001,"Mexico",34340400
"381",202001,"Mexico",34340400
"382",202001,"Mexico",552183322
"383",202001,"Mexico",100395187
"384",202001,"Mexico",687020069
"385",202001,"Mexico",1672
"386",202001,"Mexico",1672
"387",202001,"Mexico",1122
"388",202001,"Mexico",1122
"389",202001,"Mexico",159334
"390",202001,"Mexico",2568
"391",202001,"Mexico",161902
"392",202001,"Mexico",17924
"393",202001,"Mexico",1373
"394",202001,"Mexico",19297
"395",202001,"Mexico",151858
"396",202001,"Mexico",74965
"397",202001,"Mexico",16004210
"398",202001,"Mexico",16004210
"399",202001,"Mexico",813128289
"400",202001,"Mexico",56505156
"401",202001,"Mexico",885864478
"402",202001,"Mexico",117
"403",202001,"Mexico",117
"404",202001,"Mexico",14161502
"405",202001,"Mexico",14161502
"406",202001,"Mexico",243404567
"407",202001,"Mexico",60298306
"408",202001,"Mexico",317864375
"409",202001,"Mexico",3921166
"410",202001,"Mexico",3921166
"411",202001,"Mexico",15360864
"412",202001,"Mexico",16425681
"413",202001,"Mexico",35707711
"414",202001,"Mexico",1103311
"415",202001,"Mexico",26834286
"416",202001,"Mexico",26834286
"417",202001,"Mexico",119147130
"418",202001,"Mexico",20424745
"419",202001,"Mexico",167509472
"420",202001,"Mexico",515540
"421",202001,"Mexico",515540
"422",202001,"Mexico",16085028
"423",202001,"Mexico",654396
"424",202001,"Mexico",17254964
"425",202001,"Mexico",26199
"426",202001,"Mexico",26199
"427",202001,"Mexico",10591
"428",202001,"Mexico",36790
"429",202001,"Mexico",20706566
"430",202001,"Mexico",20706566
"431",202001,"Mexico",28699718
"432",202001,"Mexico",6270283
"433",202001,"Mexico",55676567
"434",202001,"Mexico",383329
"435",202001,"Mexico",663867
"436",202001,"Mexico",49134077
"437",202001,"Mexico",49134077
"438",202001,"Mexico",441556751
"439",202001,"Mexico",293500103
"440",202001,"Mexico",785238127
"441",202001,"Mexico",5400
"442",202001,"Mexico",7125046
"443",202001,"Mexico",7125046
"444",202001,"Mexico",77012
"445",202001,"Mexico",621031
"446",202001,"Mexico",7828489
"447",202001,"Mexico",3
"448",202001,"Mexico",3
"449",202001,"Mexico",13951
"450",202001,"Mexico",22559
"451",202001,"Mexico",36510
"452",202001,"Mexico",687424
"453",202001,"Mexico",21774446
"454",202001,"Mexico",21774446
"455",202001,"Mexico",3138481
"456",202001,"Mexico",191654
"457",202001,"Mexico",25792005
"458",202001,"Mexico",33339
"459",202001,"Mexico",33339
"460",202001,"Mexico",13154617
"461",202001,"Mexico",71122
"462",202001,"Mexico",13259078
"463",202001,"Mexico",23726
"464",202001,"Mexico",23726
"465",202001,"Mexico",8933
"466",202001,"Mexico",8933
"467",202001,"Mexico",1730124
"468",202001,"Mexico",196484
"469",202001,"Mexico",31213512
"470",202001,"Mexico",31213512
"471",202001,"Mexico",878616792
"472",202001,"Mexico",179088323
"473",202001,"Mexico",1090845235
"474",202001,"Mexico",63356
"475",202001,"Mexico",63356
"476",202001,"Mexico",89808
"477",202001,"Mexico",164495
"478",202001,"Mexico",317659
"479",202001,"Mexico",310
"480",202001,"Mexico",22205619
"481",202001,"Mexico",22205619
"482",202001,"Mexico",120372031
"483",202001,"Mexico",115272065
"484",202001,"Mexico",257850025
"485",202001,"Mexico",1091032
"486",202001,"Mexico",1091032
"487",202001,"Mexico",17538118
"488",202001,"Mexico",11212797
"489",202001,"Mexico",29841947
"490",202001,"Mexico",3587
"491",202001,"Mexico",3587
"492",202001,"Mexico",1577628
"493",202001,"Mexico",133352
"494",202001,"Mexico",1714567
"495",202001,"Mexico",7227
"496",202001,"Mexico",12162
"497",202001,"Mexico",19389
"498",202001,"Mexico",12960596
"499",202001,"Mexico",12960596
"500",202001,"Mexico",523997
"501",202001,"Mexico",179034
"502",202001,"Mexico",13663627
"503",202001,"Mexico",4683707
"504",202001,"Mexico",296747
"505",202001,"Mexico",4980454
"506",202001,"Mexico",47764
"507",202001,"Mexico",47764
"508",202001,"Mexico",1468560
"509",202001,"Mexico",187771
"510",202001,"Mexico",1704095
"511",202001,"Mexico",14910
"512",202001,"Mexico",10274908
"513",202001,"Mexico",10274908
"514",202001,"Mexico",38470530
"515",202001,"Mexico",6419086
"516",202001,"Mexico",55179434
"517",202001,"Mexico",1205211
"518",202001,"Mexico",1205211
"519",202001,"Mexico",26756995
"520",202001,"Mexico",6790200
"521",202001,"Mexico",34752406
"522",202001,"Mexico",1085758
"523",202001,"Mexico",78074
"524",202001,"Mexico",1163832
"525",202001,"Mexico",1614
"526",202001,"Mexico",1614
"527",202001,"Mexico",51324
"528",202001,"Mexico",363966
"529",202001,"Mexico",416904
"530",202001,"Mexico",10178148
"531",202001,"Mexico",17519791
"532",202001,"Mexico",17519791
"533",202001,"Mexico",9874123
"534",202001,"Mexico",1779949
"535",202001,"Mexico",39352011
"536",202001,"Mexico",2508651
"537",202001,"Mexico",393554
"538",202001,"Mexico",393554
"539",202001,"Mexico",39245732
"540",202001,"Mexico",11229037
"541",202001,"Mexico",53376974
"542",202001,"Mexico",706
"543",202001,"Mexico",706
"544",202001,"Mexico",1557815
"545",202001,"Mexico",22570
"546",202001,"Mexico",139314944
"547",202001,"Mexico",139314944
"548",202001,"Mexico",1509805714
"549",202001,"Mexico",186493551
"550",202001,"Mexico",1837194594
"551",202001,"Mexico",7528934
"552",202001,"Mexico",7528934
"553",202001,"Mexico",103557241
"554",202001,"Mexico",4012588
"555",202001,"Mexico",115098763
"556",202001,"Mexico",160823
"557",202001,"Mexico",160823
"558",202001,"Mexico",9570228
"559",202001,"Mexico",225960
"560",202001,"Mexico",9957011
"561",202001,"Mexico",1084054
"562",202001,"Mexico",125434
"563",202001,"Mexico",1209488
"564",202001,"Mexico",13410
"565",202001,"Mexico",51104043
"566",202001,"Mexico",368861144
"567",202001,"Mexico",368861144
"568",202001,"Mexico",128496193
"569",202001,"Mexico",45795141
"570",202001,"Mexico",594269931
"571",202001,"Mexico",66299
"572",202001,"Mexico",1131355
"573",202001,"Mexico",93089
"574",202001,"Mexico",6609
"575",202001,"Mexico",99698
"576",202001,"Mexico",28419
"577",202001,"Mexico",28419
"578",202001,"Mexico",196817
"579",202001,"Mexico",199706
"580",202001,"Mexico",424942
"581",202001,"Mexico",26344
"582",202001,"Mexico",26344
"583",202001,"Mexico",26344
"584",202001,"Mexico",1715496
"585",202001,"Mexico",1715496
"586",202001,"Mexico",23794314
"587",202001,"Mexico",10148357
"588",202001,"Mexico",35658167
"589",202001,"Mexico",411711
"590",202001,"Mexico",411711
"591",202001,"Mexico",374509
"592",202001,"Mexico",341387
"593",202001,"Mexico",1127607
"594",202001,"Mexico",1046
"595",202001,"Mexico",1046
"596",202001,"Mexico",38322412
"597",202001,"Mexico",6288773
"598",202001,"Mexico",44612231
"599",202001,"Mexico",16237
"600",202001,"Mexico",16237
"601",202001,"Mexico",114472
"602",202001,"Mexico",33952
"603",202001,"Mexico",164661
"604",202001,"Mexico",3940607
"605",202001,"Mexico",3940607
"606",202001,"Mexico",70715235
"607",202001,"Mexico",33353185
"608",202001,"Mexico",108009027
"609",202001,"Mexico",480
"610",202001,"Mexico",480
"611",202001,"Mexico",1656057
"612",202001,"Mexico",25826129
"613",202001,"Mexico",242801470
"614",202001,"Mexico",242801470
"615",202001,"Mexico",320144555
"616",202001,"Mexico",168185186
"617",202001,"Mexico",758613397
"618",202001,"Mexico",1065056
"619",202001,"Mexico",257121546
"620",202001,"Mexico",39628175
"621",202001,"Mexico",143157093
"622",202001,"Mexico",73555971
"623",202001,"Mexico",73555971
"624",202001,"Mexico",637356
"625",202001,"Mexico",142951
"626",202001,"Mexico",22615213770
"627",202001,"Mexico",1228714820
"628",202001,"Mexico",4740454076
"629",202001,"Mexico",13833224032
"630",202001,"Mexico",13833224032
"631",202002,"Mexico",28244131
"632",202002,"Mexico",659404
"633",202002,"Mexico",16001567
"634",202002,"Mexico",8717745
"635",202002,"Mexico",8717745
"636",202002,"Mexico",2865415
"637",202002,"Mexico",724
"638",202002,"Mexico",724
"639",202001,"Mexico",2295522360
"640",202001,"Mexico",517298482
"641",202001,"Mexico",197148169
"642",202002,"Mexico",1367764
"643",202002,"Mexico",776942
"644",202002,"Mexico",590820
"645",202002,"Mexico",2
"646",202002,"Mexico",2
"647",202002,"Mexico",72
"648",202002,"Mexico",72
"649",202002,"Mexico",699120
"650",202002,"Mexico",46826
"651",202002,"Mexico",652294
"652",202001,"Mexico",8201492
"653",202001,"Mexico",88410641
"654",202001,"Mexico",9562044
"655",202001,"Mexico",9562044
"656",202002,"Mexico",1015590071
"657",202002,"Mexico",208255732
